;userName;content;score;at
190;Masceng i;terbaiklah;5;2021-05-31 17.47.05
191;Frans Chandra;tempat utk investasi ok banget.;5;2021-04-06 11.25.43
192;Martinus Unika;wajib dowload . investasi bagus;5;2021-03-26 23.36.15
193;Nawan Susanto;Kok saldo ku berkurang terus;2;2021-05-27 15.36.02
194;keluarga werdatama;Mintak kode referalnya bang;5;2021-06-05 12.45.18
195;Huda Mukhammad;Tambahin pembayaran via dana min.;5;2021-04-20 11.54.59
196;Agung Wijaya;nunggu hasil baru kasih bintang 5;3;2021-04-19 21.02.06
197;Rizal Renaldy;Semoga bisa sukses bersama??;5;2021-05-18 14.21.58
198;Zulham Aja;Bagus bangett dicoba aja dijamin ga nyesel gunakan referall aedcq1i untuk berbagi cashback ??;5;2021-03-28 12.32.38
199;Iman Kadarusman;Semoga investasi bibit semakin sukses;5;2021-04-25 6.41.12
200;Cik Yadi;mudahýan tidak henti seumur hidup;5;2021-05-05 14.55.52
201;Hana Faujiah;Aplikasinya bagus banget ga ribet;5;2021-04-14 12.08.24
202;Deny Rusdiani;aplikasi yg bagus untuk investasi;5;2021-04-01 13.01.18
203;Arsyad Alfari;cocok untuk investasi pemula !;5;2021-04-16 1.12.52
204;Halima Tsd;Awalnya gak ngerti terkait investasi. Tapi sekarang lewat bibit jadi paham kalo investasi itu penting dan menguntungkan. Yukk yang mau dapat cashback bisa pake kode ini = w7nizgb ?? Dijamin dapat cashback 25rb;5;2021-05-25 13.37.03
205;megawati zai;Aplikasi yang mudah untuk anak muda;5;2021-03-26 7.57.45
206;ria intan;proses mudah cepat, keren bingits..;5;2021-05-05 12.23.46
207;Nadhiffalah H;terlalu lama untuk pencairan dana;4;2021-04-04 12.03.35
208;Ritha Soedarsono;Assikkk punya, n tambah ilmu.;5;2021-04-13 20.51.52
209;Kubangan Lumpur Channel;mantcaapp... meskipun sering merah ??;5;2021-03-29 2.26.35
210;Verdi Alvian;Kalo bisa audebit rekening bank aja;5;2021-04-05 23.10.37
211;Katrynada Jauharatna;Semoga kekeceannya bisa istiqomah ya;5;2021-04-05 22.58.57
212;Andri Purnomo;aplikasi nabung terbaik saat ini;5;2021-04-08 13.49.09
213;Hafis Polman;Yah blm punya ktp,sama rekening;2;2021-04-07 13.51.32
214;telat kuliah;cocok untuk invest pertama saya;5;2021-04-06 20.38.09
215;Agustinus Felix;Mantapp, sejauh ini bibit terbaik;5;2021-04-13 15.22.07
216;Prawama yoza;Apk bagus untuk yang mau nabung;5;2021-03-29 22.56.15
217;Imas Bayu;Bintang dua dulu,masih pemula??????;2;2021-04-26 16.53.10
218;Mohamad Indra Septiawan;sangat bagus untuk pemula;5;2021-05-21 4.44.09
219;Diunia kita;masih mempelajari..belum mulai invest..yg butuh referal mayan casback 25k nfichlw;5;2021-04-08 17.47.46
220;Soni Dwi Setiawan;Pilihan BANK JATIM yang mana?;4;2021-04-06 15.03.46
221;Uddin C.A;Ada yang Syariah suka banget.;5;2021-04-07 14.27.36
222;Ronny Cyanogen;Kualitas layanan bagus;5;2021-05-27 13.27.46
223;Yudi Klington;Pilihan Invest syariah kok tiba Tiba hilang;4;2021-05-13 9.46.51
224;den mart;sedikit2 lama jadi bkit;4;2021-06-03 6.41.52
225;dio ramadhani;waw lah apk paling aman dan mantap;5;2021-03-29 6.23.09
226;Bryan Zelig Suwandi;Mantep banget saya suka Bibit!;5;2021-04-26 10.16.35
227;Marjan Madyansyah;Kode referral buat dapat cashback = mitiga;5;2021-05-18 2.45.28
228;Ghora Yossy;ghora1 kode mau dpt uang 25 ribu;5;2021-04-20 13.56.26
229;cidho zill;Saya sangat senang aplikasi ini;5;2021-04-01 1.18.34
230;abdul karim;Menjadi tempat belajar investasi;5;2021-05-06 3.11.08
231;Yudi Arobaya;sangat baik dan cepat responnya;5;2021-04-16 3.00.36
232;doddy mustika;alhamdulillah recovery nya mudah kalo ganti hape;5;2021-04-20 13.46.44
233;Sisca Utami;investasi terbaik untuk pemula;5;2021-04-20 1.20.26
234;Yofly Julian;Baru di instal so belum di coba????;3;2021-05-05 11.34.59
235;Rudi Hartono;Aplikasi BIBIT sudah baik,terutama untuk yg baru belajar investasi,saran saya untuk BIBIT tolong tingkatkan lagi pelayanannya terutama dalam pencairan dana, supaya tidak ada keraguan untuk pomula dalam memulai investasi..;5;2021-03-21 17.12.03
236;edy saputra;Saldo saya malah menurun terus;2;2021-04-15 22.05.17
237;Ibnu Khasan AM;membantu sekali memenuhi financial;5;2021-03-26 22.52.26
238;INKE SEPTIANA;ekspek buat pemula, good job;5;2021-04-08 13.09.18
239;Bowo Hartono;Ya sebenarnya belum ikut inves sih;5;2021-04-11 11.41.47
240;Maulana Agung Ishal;"Pake kode ref ""mtdrwfu""";5;2021-05-15 1.27.53
241;Mr anugrah;mantap untuk investasi;5;2021-06-06 14.59.28
242;eva noer;Paling suka inves d reksadana bibit.... Cs ny paling ramah;5;2021-04-06 1.32.12
243;Yusuf Arif;bibit sangat bagus...untuk pemula..;4;2021-03-31 7.02.59
244;Fredy Marthen;Investasi yg bagus utk pemula;5;2021-04-13 15.44.23
245;Iputu Rezky;untuk investasi lumayan bagus;5;2021-03-28 7.49.15
246;ozan melta;sementara 4 dlu klo bagus baru 5;4;2021-04-14 3.36.54
247;fadhil firasyan;Aplikasi gaje Nyairin ko sampe 2 minggu;1;2021-04-07 10.03.19
248;ramon n.a;gak nyesel download ni aplikasi;5;2021-04-07 18.05.16
249;Yusuf Maulana;Recomen... Buat pembelajaran dini;5;2021-04-16 17.35.17
250;Suci Lestari;masih belajar,bintang 4 dlu;4;2021-04-16 8.31.20
251;Erwin Saputra;mudah dan praktis buat newbi;5;2021-04-07 4.38.58
252;KW utama;Sangat bermanfaat untuk pemula;5;2021-04-02 2.56.04
253;15, 8C, Tutde Prayoga;Chat di bibit sangat membantu;5;2021-04-09 14.18.48
254;Nade Nabe;Hmm bagus.. tolong tingkat mode Dark yaa;5;2021-04-15 8.31.34
255;GNVLOG1982;diliat dari comen bagus tea dulu min..;5;2021-04-11 8.58.50
256;noe hasyim;Alhamdulillah membantu sekali;5;2021-03-29 18.01.38
257;ABDUL MAJID;Bismillah buat pemula;5;2021-05-16 10.33.04
258;Yulianus Biru Delima;Sering eror sekarang aplikasinya bos;3;2021-05-11 2.46.06
259;O. Tchaikovsky;Jelek gaes jangan di download.;1;2021-03-27 2.58.29
